label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Marine Animal,36,45,264,120,2741224718_36d2ae6c27_o.jpg,300,225
Marine Animal,55,6,58,35,2741224718_36d2ae6c27_o.jpg,300,225
Marine Animal,11,62,196,163,2741587324_250aa5479a_o.jpg,225,300
Marine Animal,34,17,105,80,2742312579_2b3bb676c0_o.jpg,300,222
Marine Animal,109,77,186,104,2742312579_2b3bb676c0_o.jpg,300,222
Marine Animal,30,60,212,104,2743149894_9a5a04c305_o.jpg,300,218
Marine Animal,183,19,60,40,2743149894_9a5a04c305_o.jpg,300,218
Marine Animal,111,29,59,47,2743149894_9a5a04c305_o.jpg,300,218
Marine Animal,31,1,66,19,2743149894_9a5a04c305_o.jpg,300,218
Marine Animal,57,58,131,94,2747485515_9e4a3bffcf_b.jpg,300,199
Marine Animal,81,31,219,165,2747635558_f17c6de31d_b.jpg,300,201
Marine Animal,59,58,162,124,2750903426_e32087e077_o.jpg,300,225
Marine Animal,53,21,202,188,2754526054_53b2552c69_o.jpg,300,225
Marine Animal,39,14,179,152,2756599434_d9382b4304_o.jpg,300,200
Marine Animal,1,14,293,147,2756610035_5e8f77a38a_o.jpg,300,200
Marine Animal,3,1,295,139,2765508350_cc3b44384b_o.jpg,300,225
Marine Animal,4,3,193,278,2783481387_a539162976_b.jpg,201,300
Marine Animal,77,65,142,116,2790034294_c31875f3b4_o.jpg,300,225
Marine Animal,64,65,79,68,2791922410_c4c55903e5_o.jpg,300,225
Marine Animal,1,13,201,156,2798479217_7a0cabfd94_b.jpg,300,224
Marine Animal,35,59,188,115,2801224050_7fd80023ec_o.jpg,300,225
Marine Animal,18,62,262,155,2802620873_4a1793c59e_o.jpg,300,217
Marine Animal,31,1,247,266,2802678185_70b6c16c70_o.jpg,300,298
Marine Animal,47,151,135,109,2802759624_da88af636d_b.jpg,200,300
Marine Animal,192,74,94,65,2806058534_c109d34662_o.jpg,300,200
Marine Animal,118,37,155,111,2806058534_c109d34662_o.jpg,300,200
Marine Animal,0,1,62,104,2806058534_c109d34662_o.jpg,300,200
Marine Animal,30,14,221,187,2806117860_d7a3731998_o.jpg,300,229
Marine Animal,4,7,195,174,2806826625_94d0805557_o.jpg,300,214
Marine Animal,20,2,276,247,2807673504_28f93ffa93_o.jpg,300,249
Marine Animal,24,57,247,93,2808933332_7e889fbf2a_b.jpg,300,225
Marine Animal,33,16,211,172,2809011189_c1e3538056_o.jpg,300,225
Marine Animal,6,39,266,164,2809311970_9aa5d58678_b.jpg,300,226
Marine Animal,7,11,209,156,2809316460_a1d727d613_b.jpg,300,225
Marine Animal,97,33,120,161,2809317334_29d8d2bba1_b.jpg,300,225
Marine Animal,52,54,223,132,2815591110_3a8f55e844_b.jpg,300,225
Marine Animal,24,6,250,189,2820868922_585333cdfa_o.jpg,300,225
Marine Animal,136,55,45,38,2821032306_f628850d0f_o.jpg,300,225
Marine Animal,88,58,25,38,2821032306_f628850d0f_o.jpg,300,225
Marine Animal,101,52,31,41,2821032306_f628850d0f_o.jpg,300,225
Marine Animal,214,116,37,26,2821032306_f628850d0f_o.jpg,300,225
Marine Animal,152,143,26,19,2821032306_f628850d0f_o.jpg,300,225
Marine Animal,124,127,22,30,2821032306_f628850d0f_o.jpg,300,225
Marine Animal,92,125,32,30,2821032306_f628850d0f_o.jpg,300,225
Marine Animal,72,99,21,29,2821032306_f628850d0f_o.jpg,300,225
Marine Animal,98,100,36,22,2821032306_f628850d0f_o.jpg,300,225
